gene_name	Ctrl	As	Bs	Hyp	Li	Nd	Ns	Oss	Oxs	Sp	Tm	Vic
sRNA248024-Salmonella	0	-0.009577974663357325	-0.05424190736855635	0.046193996823548265	-0.0722234963051469	0.032596828751596287	-0.05314400404705617	0.013099365783959949	-0.08571273754481121	2.6172051310508436e-4	0.010022591812459472	-0.15938571417039762
sRNA253928-Salmonella	0	-0.012214603529435215	-0.06104897519343023	-0.08968903813184761	-0.04918089292397211	0.007794993230874378	-0.059043086207856005	-0.040537259997291616	-0.011670299228113789	-0.04772178968551918	-0.011989607229679415	-0.08968903813184761
t44-Salmonella	0	0.1759511974841113	-0.01554071992226883	-0.021399190649878184	-0.03874339751090411	-0.1375747898897837	0.10520619454933598	-0.01113126336694077	-0.04078633005747217	-0.013026650594836677	-0.012788786063048436	0.26258965254308514
sRNA255259-Salmonella	0	0.01281660887229854	0.04105167986770938	-0.0535171991610347	-0.013009053953159138	-0.0535171991610347	0.010960336259168696	0.004956355824638476	0.012822693681011004	-0.038470381975237444	-0.011331886166036193	-0.006408833737899286
sRNA257035-Salmonella	0	0.010503484307916531	0.017009293022844596	0	0.0389011328829029	0	0	0.006646921646506043	0	0	0	0
STnc920-Salmonella	0	-0.027107524744892465	-0.02266163335798487	0.0018651202253987262	-0.09650706224424364	-0.04314226353110434	-0.15879287379342089	-0.0859038356124625	-0.16307836192097322	-0.04517201143884493	0.0033993849801929347	0.18550785643174564
sRNA289055-Salmonella	0	0.13838636618634112	-0.04559096428148485	-0.03666283149809861	-0.08475117688708836	-0.0905254788740916	-0.16791394357784023	-0.059450578864483544	-0.10677305581660812	-0.23197966932218433	-0.03929177508552269	0.19433166996702878
sRNA294677-Salmonella	0	0.2469817265658467	-0.04049610886838194	-0.10479577729216011	-0.04424461724600013	-0.09150098540584191	0.004491620650631703	-0.06460964686247968	-0.09286721571367448	-0.12355841825633809	-0.05204457232650309	-0.09605203228390151
IsrA-Salmonella	0	0.0977141245584491	0.0068176355710550945	0.06546933534492429	0.018883871572107084	0.03205743285049606	0.033423666127528014	0.050437169480285295	0.040827258597120754	0	0.036132981310150684	0
STnc1030-Salmonella	0	0.014827074760086024	0.036629188012619406	0	0.05371472691606292	0.03205743285049606	0.020692449564014826	0.05751320384171489	0	0.021907520706980474	0.06580680667189337	0
sRNA361912-Salmonella	0	-0.040130970245264436	-0.03680760859840504	-0.05495804500535044	-0.05495804500535044	-0.05495804500535044	-0.05495804500535044	-0.027090989170341414	-0.05495804500535044	-0.05495804500535044	-0.05495804500535044	-0.05495804500535044
STnc1700-Salmonella	0	0.04069470452767352	0	0.037170259245740245	0	0	0.025286521603005634	0.040817032618153934	0	0	0	0
STnc4150-Salmonella	0	0.09969302807228883	0	0.09381468518763117	0	0.010666912534049134	0	0.028007442196587146	0	0.03931879754163283	0.02563511902360711	0.05414391656279057
sRNA437524-Salmonella	0	0	0.012053259872607185	0	0	0.04050283888998394	0.013776970737287644	0.006646921646506043	0.01207707947625893	0.015046817185797054	0.016432255231778256	0
sRNA441095-Salmonella	0	0.017016997754199077	0.061727397893950285	0.06068245585985115	0.02527626156754081	0.1542734948333477	-0.02303448340156518	0.1708580255002227	0.021899496467410504	0.1381231971954137	0.06239312331447384	-0.06594723580271983
sRNA458139-Salmonella	0	-0.002369369308206255	-0.013577583394862437	0.013359865651377001	-0.037667514102303595	0.009816105529984704	0.045140980777764655	-0.030626915051480474	0.006446435548857247	-0.002114918819705262	-0.02403023824347197	-0.03361247506568688
sRNA466560-Salmonella	0	-0.08155785341056844	-0.07624819114965344	-0.10795592170797587	-0.13984500098537203	-0.1744782674001963	-0.21522466430319157	-0.07967273656021459	-0.18198357411852503	-0.22236323883648185	-0.10463900042384466	-0.11441455749779396
sRNA466762-Salmonella	0	-0.04633534612851556	-0.08957641273271784	0.3089653811767247	-0.05132327958563857	0.15193219806712693	0.06707082662660285	-0.09875706765419863	-0.007326522782623998	0.1499640295636166	-0.05687522808005467	0.16251986413808175
sRNA501027-Salmonella	0	0.1717982506949424	-0.07138272231027294	-0.04538986112079496	-0.11066876147187943	-0.17984140183198252	-0.10429471577039257	-0.08453480562366253	-0.2529819200923151	-0.24714657871296397	-0.09159566423236366	0.13293981240388558
sRNA507874-Salmonella	0	0.05726924007922059	-0.024298576994690017	-0.008053393299959681	1.9052176466670848e-4	-0.013541300159853725	0.045727253443019276	-0.01790828771402028	-0.044607524721575656	-0.03268795067546326	0.05387696405313362	-0.12071415803080432
sRNA523910-Salmonella	0	-0.16551362865334565	-0.2591401083459414	0.04204555247567737	-0.1947013038186048	0.0035496287782718597	0.006826618459325108	-0.18821557573190445	-0.07200927262162388	-0.0984086719838119	-0.15573772040198355	0.2976295271222267
sRNA539269-Salmonella	0	0.14459577344821561	-0.030055245322234133	-0.09252516126794662	0.11688806347571629	0.08144211460499778	-0.008743236750428084	0.04610995041736047	0.22319603203895988	-0.0723494999440482	-0.009169309536194473	0.004670722960321075
sRNA539528-Salmonella	0	0.0460898384778967	-0.03903953437987389	-0.06978062820117642	0.11942280290905544	0.03573148778265158	0.08211664818754535	-0.00881495299674919	0.08367755426740191	-0.004135348027955006	-0.015458447197697749	0.06854774112018944
STnc3130-Salmonella	0	0.03254200736331348	0.027098511979265143	0.04428661775850867	-0.010072687040425412	0.014435825170539013	-0.01854339699230555	0.02246704805870662	0.07678954315915627	-0.05490915324201616	-0.005935714148536767	-0.04903255979802638
sRNA546177-Salmonella	0	-0.06375325936282615	-0.05476999703572645	0.030454501380564353	-0.0695649891294223	-0.04274053681638221	-0.06255078562602534	-0.025540583530015155	-0.07701018966308809	-0.1931712501447596	-0.09523566779953915	0.012659979536589004
ChiX-Salmonella	0	-2.0869124288492948e-4	-0.006263865305904475	-0.014539596880492696	-0.02161215244088767	-0.045325828836018135	0.051833595639028965	-0.03563743251532279	-0.043915661893808626	0.039275859118675434	-0.006947194785930309	-0.055992741370067316
